x,y,z
-0.421295,1.460021,0.0603
-0.421459,1.457821,0.065118
-0.4216,1.455901,0.069613
-0.42199,1.453754,0.074184
-0.422351,1.451508,0.07906
-0.422454,1.449169,0.083052
-0.42295,1.446817,0.087725
-0.422941,1.444106,0.092047
-0.4232,1.441556,0.09634
-0.423711,1.438867,0.100898
-0.423691,1.435809,0.105004
-0.424053,1.4328,0.109364
-0.424561,1.429856,0.113527
-0.424737,1.426551,0.117826
-0.42495,1.422941,0.122227
-0.425387,1.419464,0.126141
-0.42549,1.415726,0.130175
-0.425896,1.411769,0.134309
-0.426126,1.407664,0.138363
-0.426442,1.403544,0.142262
-0.426657,1.39924,0.145905
-0.427024,1.395005,0.14939
-0.427346,1.390535,0.153177
-0.427602,1.385954,0.156696
-0.427986,1.381353,0.160006
-0.428557,1.37675,0.163449
-0.429049,1.372108,0.166666
-0.42949,1.367395,0.169649
-0.429947,1.36256,0.172444
-0.430181,1.35765,0.175077
-0.430799,1.352628,0.178001
-0.431291,1.347579,0.180649
-0.431769,1.34255,0.183153
-0.432221,1.337437,0.185562
-0.432856,1.332475,0.187495
-0.433327,1.327285,0.189588
-0.43392,1.32219,0.191402
-0.43445,1.317033,0.193173
-0.434948,1.311736,0.195052
-0.435482,1.306545,0.196437
-0.43594,1.300978,0.198255
-0.43654,1.295639,0.199817
-0.436946,1.290197,0.200727
-0.437417,1.284718,0.201873
-0.437874,1.279235,0.202791
-0.438387,1.273608,0.203614
-0.438949,1.267855,0.204638
-0.439333,1.262128,0.205241
-0.439879,1.256186,0.206152
-0.440193,1.250234,0.206741
-0.4406,1.244104,0.207388
-0.440946,1.238022,0.207626
-0.441429,1.232154,0.207599
-0.441705,1.225974,0.207875
-0.442134,1.220007,0.207849
-0.442541,1.214084,0.207213
-0.442791,1.207965,0.207248
-0.443047,1.201922,0.206873
-0.443387,1.195972,0.206566
-0.443642,1.189973,0.205499
-0.443963,1.184382,0.204708
-0.444147,1.178306,0.204088
-0.444466,1.172778,0.202996
-0.444736,1.167055,0.201677
-0.444947,1.16124,0.200816
-0.445306,1.155835,0.1992
-0.445447,1.150124,0.197826
-0.445714,1.144553,0.196293
-0.445983,1.138873,0.194768
-0.446232,1.133405,0.193119
-0.446378,1.127721,0.191394
-0.446682,1.122377,0.189458
-0.446726,1.116707,0.187435
-0.446979,1.111272,0.185379
-0.447184,1.105842,0.18331
-0.447336,1.100464,0.180652
-0.447512,1.09517,0.178167
-0.447566,1.089887,0.175635
-0.447694,1.084693,0.173157
-0.447733,1.07953,0.170302
-0.447808,1.074291,0.167687
-0.447893,1.069291,0.164583
-0.448013,1.064367,0.161611
-0.447958,1.059373,0.158491
-0.448061,1.05443,0.155518
-0.448171,1.049699,0.152253
-0.448295,1.044921,0.149243
-0.448318,1.040238,0.145897
-0.448318,1.03549,0.142562
-0.448317,1.030754,0.13935
-0.44825,1.026543,0.135343
-0.448294,1.021848,0.13238
-0.448266,1.017503,0.128427
-0.448282,1.013178,0.124748
-0.448303,1.008955,0.121093
-0.448155,1.004736,0.117475
-0.448128,1.000751,0.11326
-0.448116,0.996686,0.109378
-0.448041,0.992718,0.105587
-0.447914,0.988949,0.101339
-0.447814,0.985054,0.097392
-0.447852,0.981381,0.093188
-0.447699,0.977708,0.089048
-0.447462,0.974299,0.084673
-0.447496,0.970493,0.080909
-0.447445,0.967146,0.076465
-0.447369,0.963716,0.072195
-0.447269,0.960183,0.068087
-0.447162,0.957005,0.063717
-0.446988,0.95366,0.059502
-0.446853,0.950615,0.055058
-0.446635,0.947923,0.050265
-0.446509,0.944763,0.046026
-0.446219,0.942021,0.041279
-0.446248,0.939348,0.036744
-0.445911,0.936734,0.032377
-0.445715,0.934234,0.02751
-0.445486,0.931619,0.022799
-0.445228,0.929251,0.018056
-0.44482,0.926837,0.013306
-0.444564,0.924736,0.00845
-0.444156,0.922456,0.003688
-0.443768,0.920271,-0.001145
-0.443444,0.918229,-0.006075
-0.442992,0.916149,-0.011087
-0.442583,0.914237,-0.016089
-0.442056,0.912283,-0.021063
-0.441667,0.910575,-0.026143
-0.441155,0.908727,-0.031311
-0.440626,0.907104,-0.036611
-0.440165,0.905335,-0.041724
-0.439633,0.903848,-0.046907
-0.439038,0.90252,-0.052226
-0.438466,0.900799,-0.057351
-0.438036,0.899614,-0.062734
-0.437454,0.89791,-0.067902
-0.43694,0.896686,-0.073125
-0.436385,0.895601,-0.078611
-0.435706,0.894398,-0.083945
-0.435124,0.893258,-0.089286
-0.434542,0.89221,-0.094556
-0.433971,0.89088,-0.099876
-0.433424,0.889931,-0.105236
-0.432786,0.888779,-0.110562
-0.432164,0.888055,-0.116023
-0.431519,0.887033,-0.121391
-0.430959,0.886244,-0.126837
-0.430294,0.885233,-0.132071
-0.429764,0.884493,-0.137529
-0.429043,0.883952,-0.142911
-0.428427,0.883099,-0.148214
-0.427706,0.882608,-0.153494
-0.427119,0.882118,-0.159028
-0.426411,0.881836,-0.164629
-0.425684,0.881385,-0.169993
-0.424948,0.881038,-0.175386
-0.424311,0.880859,-0.181131
-0.423453,0.880444,-0.186677
-0.422705,0.88024,-0.192246
-0.421905,0.880033,-0.197726
-0.421118,0.87968,-0.203309
-0.420326,0.879467,-0.208914
-0.419601,0.879133,-0.214421
-0.418767,0.878829,-0.219957
-0.418001,0.878645,-0.225534
-0.417222,0.878351,-0.231128
-0.416376,0.878103,-0.236722
-0.41557,0.877924,-0.242347
-0.414785,0.87778,-0.247935
-0.41405,0.877703,-0.253512
-0.413221,0.87779,-0.259018
-0.412399,0.877868,-0.264553
-0.411569,0.878264,-0.270201
-0.410776,0.878448,-0.275663
-0.409981,0.878552,-0.281103
-0.408991,0.878964,-0.28661
-0.408184,0.879356,-0.292072
-0.407371,0.87977,-0.297489
-0.406552,0.879919,-0.30286
-0.405566,0.880593,-0.30843
-0.404699,0.881011,-0.313907
-0.403714,0.881516,-0.31925
-0.402944,0.881862,-0.324819
-0.401957,0.882643,-0.330497
-0.401043,0.883199,-0.335975
-0.400145,0.883888,-0.341599
-0.399233,0.884297,-0.346945
-0.398348,0.885425,-0.35257
-0.397451,0.886189,-0.358225
-0.39657,0.887183,-0.363535
-0.395695,0.887759,-0.368707
-0.394721,0.889126,-0.373945
-0.393823,0.890206,-0.379051
-0.392829,0.891414,-0.383901
-0.391937,0.892749,-0.388893
-0.390998,0.894144,-0.393844
-0.390093,0.895514,-0.398499
-0.38905,0.897288,-0.403332
-0.388023,0.898634,-0.408026
-0.386943,0.900774,-0.413046
-0.385949,0.902317,-0.41773
-0.38507,0.904216,-0.422534
-0.384022,0.906392,-0.427483
-0.382987,0.908387,-0.432483
