x,y,z
-0.40466,1.352575,-0.239646
-0.409387,1.353813,-0.23991
-0.414163,1.35484,-0.240046
-0.418985,1.356009,-0.24008
-0.423886,1.357082,-0.240348
-0.428825,1.358247,-0.240441
-0.433912,1.359338,-0.240695
-0.439154,1.360623,-0.241079
-0.444353,1.361767,-0.241455
-0.449661,1.362848,-0.241662
-0.454932,1.363967,-0.241871
-0.460413,1.365172,-0.242338
-0.465961,1.366475,-0.242815
-0.471463,1.367466,-0.242891
-0.477045,1.368664,-0.243199
-0.482724,1.369919,-0.243823
-0.488485,1.371262,-0.244441
-0.494216,1.372416,-0.244781
-0.500003,1.373568,-0.245237
-0.505787,1.374892,-0.245872
-0.511689,1.37627,-0.246542
-0.517514,1.377291,-0.247065
-0.523471,1.378605,-0.247794
-0.529364,1.379963,-0.248461
-0.535327,1.381364,-0.249396
-0.541227,1.382539,-0.249962
-0.547312,1.384101,-0.250967
-0.553274,1.385511,-0.251948
-0.559231,1.386852,-0.252657
-0.565225,1.388175,-0.253517
-0.571288,1.389585,-0.254608
-0.577378,1.391115,-0.25561
-0.583477,1.39275,-0.256782
-0.589506,1.394262,-0.257758
-0.595662,1.395842,-0.259014
-0.601703,1.397315,-0.259911
-0.607816,1.398911,-0.261112
-0.613944,1.400337,-0.262193
-0.620076,1.401981,-0.263355
-0.626178,1.40346,-0.26468
-0.632336,1.405028,-0.265931
-0.638425,1.406739,-0.267236
-0.644482,1.408252,-0.268423
-0.650561,1.409739,-0.269619
-0.656675,1.411306,-0.270914
-0.662736,1.412913,-0.272235
-0.668759,1.414377,-0.273559
-0.674762,1.415963,-0.274943
-0.680799,1.417577,-0.276356
-0.686715,1.419138,-0.277792
-0.692607,1.420696,-0.279289
-0.698423,1.422199,-0.280695
-0.704276,1.423824,-0.282322
-0.710015,1.42527,-0.283681
-0.715769,1.426791,-0.285338
-0.721391,1.42835,-0.2868
-0.726957,1.429819,-0.288335
-0.732544,1.431383,-0.289997
-0.738048,1.432841,-0.29151
-0.743501,1.434341,-0.293331
-0.748843,1.435825,-0.294766
-0.754128,1.43719,-0.296376
-0.759373,1.438639,-0.29811
-0.76449,1.440027,-0.299739
-0.769563,1.441446,-0.301209
-0.774509,1.442753,-0.30285
-0.779453,1.44413,-0.304576
-0.784259,1.445426,-0.306187
-0.78894,1.446629,-0.307765
-0.793566,1.447875,-0.309468
-0.798068,1.448969,-0.311082
-0.802495,1.450021,-0.312731
-0.806837,1.45105,-0.314383
-0.811032,1.451953,-0.315825
-0.815196,1.452888,-0.317489
-0.819218,1.453731,-0.319065
-0.823132,1.454546,-0.320562
-0.826926,1.455233,-0.321965
-0.830666,1.45584,-0.323517
-0.834342,1.456478,-0.32511
-0.83786,1.457032,-0.326496
-0.841308,1.457589,-0.327852
-0.844644,1.458092,-0.329231
-0.847961,1.458507,-0.330541
-0.851163,1.458992,-0.331996
-0.854365,1.459319,-0.333261
-0.857326,1.459937,-0.334381
-0.860418,1.460338,-0.33589
-0.863222,1.460595,-0.336862
-0.866165,1.461035,-0.338272
-0.868787,1.461165,-0.339165
-0.871512,1.461575,-0.340296
-0.874004,1.461767,-0.341271
-0.876548,1.462038,-0.342308
-0.878844,1.462188,-0.343166
-0.881188,1.462375,-0.344303
-0.883316,1.462371,-0.34514
-0.885439,1.462433,-0.346089
-0.887435,1.462435,-0.346916
-0.889332,1.46237,-0.347696
-0.891042,1.462227,-0.348396
-0.892798,1.462241,-0.349341
-0.894389,1.461971,-0.349853
